Waf: Entering directory `/home/marquez/Desktop/EEL6591/Wireless-Perf-Sim/ns-3-dev/build'
Waf: Leaving directory `/home/marquez/Desktop/EEL6591/Wireless-Perf-Sim/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.737s)
PING 10.0.0.1 - 1024 bytes of data - 1052 bytes including ICMP and IPv4 headers.
1032 bytes from 10.0.0.1: icmp_seq=0 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=1 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=2 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=3 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=4 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=5 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=6 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=7 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=8 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=9 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=10 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=11 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=12 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=13 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=14 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=15 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=16 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=17 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=18 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=19 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=20 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=21 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=22 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=23 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=24 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=25 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=26 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=27 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=28 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=29 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=30 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=31 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=32 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=33 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=34 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=35 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=36 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=37 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=38 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=39 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=40 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=41 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=42 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=43 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=44 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=45 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=46 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=47 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=48 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=49 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=50 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=51 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=52 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=53 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=54 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=55 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=56 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=57 ttl=63 time=+6.849ms
1032 bytes from 10.0.0.1: icmp_seq=58 ttl=63 time=+6.849ms
--- 10.0.0.1 ping statistics ---
59 packets transmitted, 59 received, 0% packet loss, time +5.9e+04ms
rtt min/avg/max/mdev = 6/6/6/0 ms
